Flask #,Treatment,Glass,Nutrient,F2Volume,GlassVolume,Buffer,Kyle_Bottom,Kyle_Top,Nich_Bottom,Nich_Top,Ind.Count,Ind.Density,Density
1,1a,70,70,0.04662,0.02331,0.15,136,234,123,160,163.3,4.1,4.1
1,1b,70,70,0.04662,0.02331,0.15,na,na,na,na,#DIV/0!,#DIV/0!,
2,2a,70,100,0.04662,0.0333,0.15,139,163,135,149,146.5,3.7,4.1
2,2b,70,100,0.04662,0.0333,0.15,177,185,173,176,177.8,4.4,
3,3a,70,130,0.04662,0.04329,0.15,170,137,188,156,162.8,4.1,4.6
3,3b,70,130,0.04662,0.04329,0.15,212,171,244,191,204.5,5.1,
4,4a,70,160,0.04662,0.05328,0.15,222,164,232,183,200.3,5,4.7
4,4b,70,160,0.04662,0.05328,0.15,190,156,187,169,175.5,4.4,
5,5a,70,190,0.04662,0.06327,0.15,217,162,253,189,205.3,5.1,4.8
5,5b,70,190,0.04662,0.06327,0.15,160,174,177,198,177.3,4.4,
6,6a,70,220,0.04662,0.07326,0.15,na,na,na,na,#DIV/0!,#DIV/0!,4.5
6,6b,70,220,0.04662,0.07326,0.15,147,181,162,225,178.8,4.5,
7,7a,100,70,0.0666,0.02331,0.15,189,175,164,153,170.3,4.3,4.4
7,7b,100,70,0.0666,0.02331,0.15,192,179,168,179,179.5,4.5,
8,8a,100,100,0.0666,0.0333,0.15,212,170,184,169,183.8,4.6,4.6
8,8b,100,100,0.0666,0.0333,0.15,na,na,na,na,#DIV/0!,#DIV/0!,
9,9a,100,130,0.0666,0.04329,0.15,187,247,191,138,190.8,4.8,6.5
9,9b,100,130,0.0666,0.04329,0.15,245,404,268,401,329.5,8.2,
10,10a,100,160,0.0666,0.05328,0.15,272,288,322,282,291,7.3,6.7
10,10b,100,160,0.0666,0.05328,0.15,288,197,300,198,245.8,6.1,
11,11a,100,190,0.0666,0.06327,0.15,206,242,225,244,229.3,5.7,5.5
11,11b,100,190,0.0666,0.06327,0.15,230,171,242,197,210,5.3,
12,12a,100,220,0.0666,0.07326,0.15,,,254,234,244,6.1,6.2
12,12b,100,220,0.0666,0.07326,0.15,275,222,,,248.5,6.2,
13,13a,130,70,0.08658,0.02331,0.15,,,221,256,238.5,6,5.5
13,13b,130,70,0.08658,0.02331,0.15,216,181,,,198.5,5,
14,14a,130,100,0.08658,0.0333,0.15,,,261,258,259.5,6.5,6.6
14,14b,130,100,0.08658,0.0333,0.15,258,275,,,266.5,6.7,
15,15a,130,130,0.08658,0.04329,0.15,na,na,na,na,#DIV/0!,#DIV/0!,#DIV/0!
15,15b,130,130,0.08658,0.04329,0.15,na,na,na,na,#DIV/0!,#DIV/0!,
16,16a,130,160,0.08658,0.05328,0.15,na,na,na,na,#DIV/0!,#DIV/0!,9.4
16,16b,130,160,0.08658,0.05328,0.15,,,421,334,377.5,9.4,
17,17a,130,190,0.08658,0.06327,0.15,208,218,,,213,5.3,6
17,17b,130,190,0.08658,0.06327,0.15,,,237,300,268.5,6.7,
18,18a,130,220,0.08658,0.07326,0.15,166,176,,,171,4.3,5
18,18b,130,220,0.08658,0.07326,0.15,,,199,253,226,5.7,
19,19a,160,70,0.10656,0.02331,0.15,200,228,,,214,5.4,5.4
19,19b,160,70,0.10656,0.02331,0.15,na,na,na,na,#DIV/0!,#DIV/0!,
20,20a,160,100,0.10656,0.0333,0.15,na,na,na,na,#DIV/0!,#DIV/0!,8.5
20,20b,160,100,0.10656,0.0333,0.15,,,368,311,339.5,8.5,
21,21a,160,130,0.10656,0.04329,0.15,na,na,na,na,#DIV/0!,#DIV/0!,6.3
21,21b,160,130,0.10656,0.04329,0.15,234,270,,,252,6.3,
22,22a,160,160,0.10656,0.05328,0.15,,,250,254,252,6.3,7.2
22,22b,160,160,0.10656,0.05328,0.15,310,336,,,323,8.1,
23,23a,160,190,0.10656,0.06327,0.15,232,240,,,236,5.9,7.4
23,23b,160,190,0.10656,0.06327,0.15,,,407,302,354.5,8.9,
24,24a,160,220,0.10656,0.07326,0.15,189,220,,,204.5,5.1,5.2
24,24b,160,220,0.10656,0.07326,0.15,,,200,226,213,5.3,
25,25a,190,70,0.12654,0.02331,0.15,,,348,364,356,8.9,7.5
25,25b,190,70,0.12654,0.02331,0.15,251,230,,,240.5,6,
26,26a,190,100,0.12654,0.0333,0.15,,,388,384,386,9.7,8.1
26,26b,190,100,0.12654,0.0333,0.15,210,310,,,260,6.5,
27,27a,190,130,0.12654,0.04329,0.15,188,239,,,213.5,5.3,6.5
27,27b,190,130,0.12654,0.04329,0.15,,,355,264,309.5,7.7,
28,28a,190,160,0.12654,0.05328,0.15,,,285,222,253.5,6.3,5.3
28,28b,190,160,0.12654,0.05328,0.15,207,133,,,170,4.3,
29,29a,190,190,0.12654,0.06327,0.15,101,259,,,180,4.5,6.3
29,29b,190,190,0.12654,0.06327,0.15,,,311,329,320,8,
30,30a,190,220,0.12654,0.07326,0.15,262,185,,,223.5,5.6,7.4
30,30b,190,220,0.12654,0.07326,0.15,,,348,387,367.5,9.2,
31,31a,220,70,0.14652,0.02331,0.15,201,315,,,258,6.5,6
31,31b,220,70,0.14652,0.02331,0.15,,,236,201,218.5,5.5,
32,32a,220,100,0.14652,0.0333,0.15,,,256,223,239.5,6,6.3
32,32b,220,100,0.14652,0.0333,0.15,213,308,,,260.5,6.5,
33,33a,220,130,0.14652,0.04329,0.15,,,209,181,195,4.9,5.4
33,33b,220,130,0.14652,0.04329,0.15,264,213,,,238.5,6,
34,34a,220,160,0.14652,0.05328,0.15,234,191,,,212.5,5.3,6.2
34,34b,220,160,0.14652,0.05328,0.15,,,357,214,285.5,7.1,
35,35a,220,190,0.14652,0.06327,0.15,192,236,,,214,5.4,5.4
35,35b,220,190,0.14652,0.06327,0.15,,,234,209,221.5,5.5,
36,36a,220,220,0.14652,0.07326,0.15,,,215,138,176.5,4.4,6.5
36,36b,220,220,0.14652,0.07326,0.15,361,319,,,340,8.5,
37,37a,100,300,0.0666,0.0999,0.15,,,272,234,253,6.3,5.5
37,37b,100,300,0.0666,0.0999,0.15,206,173,,,189.5,4.7,
38,38a,300,100,0.1998,0.0333,0.15,,,231,210,220.5,5.5,5.2
38,38b,300,100,0.1998,0.0333,0.15,205,190,,,197.5,4.9,
39,39a,300,300,0.1998,0.0999,0.15,242,284,,,263,6.6,7.5
39,39b,300,300,0.1998,0.0999,0.15,,,313,362,337.5,8.4,
40,40a,100,600,0.0666,0.1998,0.15,351,311,,,331,8.3,8.2
40,40b,100,600,0.0666,0.1998,0.15,,,274,375,324.5,8.1,
41,41a,600,100,0.3996,0.0333,0.15,204,189,,,196.5,4.9,5.4
41,41b,600,100,0.3996,0.0333,0.15,,,224,251,237.5,5.9,
42,42a,600,600,0.3996,0.1998,0.15,508,391,,,449.5,11.2,10.5
42,42b,600,600,0.3996,0.1998,0.15,,,333,451,392,9.8,
